Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Direct Beneficiaries,GHG Emissions Reduction,description,sdgs,solution,Gender Marker
5669,IMPRESS,6075828.0,Samoa,WSM,PIMS+,,VF,5,983504.0,0.0,"The objective of the project is the improved sustainable and cost-effective utilization of indigenous renewable energy resources for energy production in Samoa. This will be realized through development of RE and DSM/EE policies and regulatory frameworks, adoption of RE-based technologies in electricity generation and financing RE, and DSM/EE investments in Samoa. The project comprises the five (5) components: i) Enhancement of Renewable Energy Policy Formulation and Implementation; ii) RE-based Energy System Improvements; iii) Financing of Initiatives for Electricity Saving, Productive and Social Uses of RE Electricity, and Electricity System Performance Improvement; iv) Productive & Social Uses of RE; and v) Enhancement of Awareness on the Applications and Benefits of RE/EE. This project will be implemented over a 60 months period and is expected to achieve GHG emission reductions through the displacement of diesel electricity generation. Direct GHG emission reduction over the lifetime of the project is estimated to be 25,267 tCO2e. The estimated direct post emission",,,Missing
1000418,CAP-IT,15175755.0,Samoa,WSM,,,Non-VF,5,203000.0,0.0,,,,GEN2
6037,AREAN,3321563.0,Samoa,WSM,PIMS+,,VF,5,8.0,0.0,"Project Objective: Enabling the achievement of the energy access, sustainable energy, and green growth targets of Niue",,,Missing
120029,Sustainable Energy Programme,15436128.0,Lebanon,LBN,http://open.undp.org/projects/00120029,"['Aver, Inc. S.A.L', 'Beesline International SAL', 'Biomass S. A. L.', 'ELCIR S.A.L', 'EUROPEAN COMMISSION', 'KREDITANSTALT FUR WIEDERAUFBAU', 'MINISTRY OF FOREIGN AFFAIRS, NORWAY', 'Petco s.a.l', 'Roky Plast SAL', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2,81200.0,0.0,Implementation of renewable energy and energy efficiency initiatives and establishing an enabling environment for entrepreneurship in renewables.,"[13, 7, 9]",['Close the energy gap'],Missing
6468,Lebanon Sustainable Low-emission Transport Systems,3552968.0,Lebanon,LBN,"PIMS+
https://www.thegef.org/projects-operations/projects/10358",GEF,VF,1,1417000.0,0.0,"Project proposes several approaches: on the one hand to tackle the policy issues and provide technical options for the best way forward to improve the situation in transport and to introduce efficient transport technologies to the market. On the other hand, the project will consider piloting a renewable energy pilot application for charging stations or some other modality to determine the applicability of charging electric vehicles.  Finally, the project will work with NGOs and universities to promote research on the topic and raise awareness on sustainable transport and modal transport change. 
Objective: Promotion of Sustainable Transport in Lebanon using transport demand management and low carbon vehicles.
Component 1: Institutional and policy support for the promotion of sustainable low emissions transport systems
Component 2: Increased deployment of sustainable low-emission transport systems and support services
Component 3: Knowledge management, capacity development and awareness raising",,,Missing
143571,BRA/22/007 Desenvolvimento Sul do Piaui,1733569.0,Brazil,BRA,https://open.undp.org/projects/00143571,,Non-VF,3,928.05,0.0,,,,Missing
6403,Electric Mobility Jamaica,1784862.0,Jamaica,JAM,PIMS+,GEF,VF,6,25175.0,76.2,"The Child Project in Jamaica pursues the introduction of electric vehicle (EV) mobility in Jamaica focusing on the demonstration of EV buses for public transport in Kingston with operator JUTC and electric utility JPS. The demonstration pilot will deploy up to five buses procured by GOJ to retrieve relevant technical, economic and operational data to develop the business case for EV buses for JUTC and ensure suitability and effectiveness of the systems.
With support from the Global Programme regional support platform for the LAC region, the Project will address identified institutional, regulatory, capacity and financial barriers for public and private EV mobility in conjunction with sector ministries MTM, MSET, MEGIC and MFPS. Knowledge management and capacity building will be anchored in national host institutions including University of Technology and the Heart Trust respectively covering academic curricula and research, and vocational training.
The Project will deliver global environmental benefits (GHG reductions) by replacement of fossil fuel for vehicle transport, by electricity partly generated from renewable energy sources. It further seeks to deliver social and economic benefits through reduction of operational costs, improved service quality, and increased access to transport services for low-income commuter groups in which females are predominant.",,,Missing
6163,AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,4416210.0,Algeria,DZA,PIMS+,GEF,VF,1,35000.0,0.0,"The proposed GEF project is designed to address the weaknesses identified in the baseline. It is targeted at the municipal scale such that it can cover all the components of the waste value-chain, as well as to be easily replicated nationwide under PROGDEM. The project is based on three pillars:
1.	Reduction of the volume of waste at source and of transport distances to Engineered Landfills through: upstream waste sorting at the household level; municipal institutional strengthening and technical support; upgrading the status of waste sector employees; development of recycling waste collection networks through the creation of micro-enterprises at the communal level; and the installation and operation of municipal sorting plants.
2.	Integration of bio-mechanical waste treatment into the waste management process to separate the organic fraction.
3.	Promotion of economic value creation from waste by strengthening recycling activities, and by enabling the production of fertilizer, and energy by transforming the organic fraction of waste.",,,Missing
145179,Support to Algeria energy transition,400000.0,Algeria,DZA,https://open.undp.org/projects/00145179,UNDP,Non-VF,1,0.0,0.0,,,,Missing
missing-DZA-1,Italy UNDP Energy Partnership-Algeria,10000.0,Algeria,DZA,https://www.undp.org/romecentre/undp-italy-energy-partnership,Government of Italy ,,1,0.0,0.0,,,,Missing project id
106770,Enhanced Rural Resilience in Yemen II,24261743.0,Yemen,YEM,http://open.undp.org/projects/00106770,"['Generic foundation donor code', 'MPTF-Supporting Resilient Livelihoods and Food Security in Yemen JP (ERRY II )', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,8,154882.8,0.0,"The Supporting Resilient Livelihoods and Food Security in Yemen Joint Programme (ERRY II), aims to contribute to reduce vulnerability and strengthen resilience of crisis-affected communities.","[1, 16, 7]","['Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Close the energy gap']",Missing
135714,"Supporting Resilient Livelihoods, Food Security and Clim",2727783.0,Yemen,YEM,http://open.undp.org/projects/00135714,"['Generic foundation donor code', 'MPTFO-JP Yemen ERRY III', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,6,133084.0,0.0,"Supporting Resilient Livelihoods, Food Security and Climate Adaptations in Yemen (ERRY III)","[1, 7]","['Keeping people out of poverty', 'Close the energy gap']",Missing
137393,Renewable Energy Improved Access to Health Services,463769.0,Yemen,YEM,http://open.undp.org/projects/00137393,['Kuwait Fund for Arab Economic Development'],Non-VF,4,146616.5,0.0,Renewable Energy for Improved Health Services and Livelihood Opportunities in Yemen (HEAL),"[16, 7]","['Strengthen effective, inclusive and accountable governance', 'Close the energy gap']",Missing
137462,Piloting e-mobility within Belize’s Public Transport Sys,5244326.91,Belize,BLZ,http://open.undp.org/projects/00137462,['EUROPEAN COMMISSION'],Non-VF,5,1500.0,1300.0,The Project supports the implementation of Belize’s raised ambition Nationally Determined Contributions to the UNFCCC and associated Low Emission Development Strategy (LEDS).,"[13, 7]",['Others'],Missing
118209,Engender ,120000.0,Belize,BLZ,,"FCDO, GAC",Non-VF,1,200.0,0.0,,,,Missing
missing-countryCode-1,Photovoltaics in Punta Negra- Accessing Low Carbon Energy.,50000.0,Belize,BLZ,,GF,,4,281.25,0.0,,,,Missing project id
4018,"Policy
Reforms and Market Transformation of the Energy Efficient Buildings Sector
of the I.R. Iran (EEEB)",4000000.0,Iran,IRN,https://open.undp.org/projects/00063735,GEF,VF,5,32812.5,146167.0,,,,Missing
132166,Tiendas Comunitarias - La Guajira,,Colombia,COL,"https://www.undp.org/es/colombia/news/en-la-guajira-mujeres-rurales-lideran-tiendas-comunitarias-para-su-empoderamiento-econ%C3%B3mico
https://www.youtube.com/watch?v=6vtlQRzqaUw
https://open.undp.org/projects/00132166","Donor 00012: UNDP's Rapid Response Facility (RRF2) program https://www.undp.org/press-releases/covid-19-30-million-rapid-response-facility-launched-vulnerable-countries

Donor 00012: CO UNDP Funding
https://www.undp.org/es/colombia",Non-VF,1,69.0,0.0,,,,Missing
123292,Tiendas Comunitarias - Chocó,,Colombia,COL,"https://pnudcolombia.exposure.co/juntas-y-poderosas

https://www.youtube.com/watch?v=h6buc3MubaY

https://open.undp.org/projects/00123292","Donor 12641: The United Nations Multi-Partner Trust Fund for Sustaining Peace in Colombia / (Previously Known As Mptf-Colombia Post-Conflict Unmptf)
https://mptf.undp.org/

Donor 00012: CO UNDP Funding
https://www.undp.org/es/colombia",Non-VF,1,56.0,0.0,,,,Missing
98331,"
Implement collective reparation measures in 7 ethnic communities and one non-ethnic community in photovoltaic power lines and definition of sustainability strategy",,Colombia,COL,https://open.undp.org/projects/00098331,"Donor 12844 Victims Unit (Government of Colombia) 
https://www.unidadvictimas.gov.co/es/

Donor 10503: Norwegian Government
https://www.regjeringen.no/en/id4/",Non-VF,1,16571.0,0.0,,,,Missing
6469,Comoros national child project - Africa Minigrids Program (AMP),1269863.0,Comoros,COM,PIMS+,,VF,4,10899.5,0.0,,,,Missing
5484,Comoros Geothermal,5905662.0,Comoros,COM,PIMS+,,VF,3,767782.0,0.0,"This project aims to formulate a conducive policy/regulatory framework to develop and utilise geothermal energy on Grande Comore and promote investment in the development of geothermal resources for base power electricity generation. It will do so by leveraging almost $ 46 million in multilateral and private sector financing over its six-year implementation period. Over the same period, a 10 MW geothermal base power plant will be developed to supply the Grande Comore electricity grid to displace diesel fuel that is presently utilised. Operation of the geothermal plant will result in generation of some 2,390,000 MWh of electricity over an expected 30-year projected life of the installation. This, in turn, will result in avoiding 1,882,125 tonnes of CO2 over the same 30-year projected lifetime of the equipment. The project will achieve this target by introducing a conducive framework for investment promotion in geothermal resources development on Grande Comore.",,,Missing
5740,Assurer un approvisionnement en eau résilient aux changement climatique aux comores ER2C ,20345141.0,Comoros,COM,Pims +,,VF,1,35529.0,0.0,,,,Missing
142807,Energy Efficiency in Barda and Ganja,885772.0,Azerbaijan,AZE,http://open.undp.org/projects/00142807,"['GOVERNMENT OF JAPAN', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2,120.0,0.0,Centralized heating system and other energy efficiency measures will be applied to one school and one multi-store residential building in Barda and advocacy and awareness-raising activities will be conducted in Barda and in Ganja.,[7],['Close the energy gap'],Missing
6479,Energy Efficiency in Buildings – EMIS and Green Social Housing,4521005.0,Azerbaijan,AZE,PIMS+,,VF,1,0.0,0.0,The project objective is to promote green urban development in the Greater Baku region with a focus on energy efficiency in buildings and pasture restoration/greater land management.,,,Missing
5492 / 00101330,Moldova Green Cities,127500.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/moldova-sustainable-green-cities,"GEF, UNDP",Non-VF,7,101110.0,0.0,,,,Missing project id
130906,Addressing the impacts of the energy crisis in the Republic of Moldova: Initiating solutions toward energy security and energy poverty,649000.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/addressing-impacts-energy-crisis-republic-moldova,European Union $13.5M,Non-VF,5,200000.0,0.0,,,,GEN2
1000378,"Multidimensional response to emerging human security challenges - ""Biomass revitalization""",2298111.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/multidimensional-response-emerging-human-security-challenges-moldova,"Japan $ 2,2  (2023)
",Non-VF,1,20000.0,0.0,,,,GEN1
133573,Emergency support for agri-producers /energy technologies ,1983621.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/emergency-support-agri-producers-context-socio-economic-climate-and-energy-crisis,"Austria (ADA) $670,123 (2024)",Non-VF,1,3000.0,0.0,,,,GEN3
4685,Congo Micro-hydroelectricity,1944133.0,Congo,COG,PIMS+,,VF,1,45000.0,0.0,"The proposed UNDP-GEF project will be complementary to the baseline initiatives as it addresses barriers that are specifically related to the investment in decentralized micro and small hydropower plants, which are not covered under the baseline",,,Missing
5543,A systemic approach for GHG emission,2640000.0,Jordan,JOR,PIMS+,GEF,VF,4,153000.0,1602.0,To assist the Greater Amman Municipality (GAM) improve the quality of life for its citizens and comply with the National Energy Efficiency Action Plan (NEEAP) via support for more sustainable resource-efficient urban planning and targeted low-carbon interventions in the municipal buildings and street lighting sub-sectors.,,,Missing
114336,Mejor calidad de vida en El Seibo,650039.0,Dominican Republic,DOM,http://open.undp.org/projects/00114336,['GOVERNMENT OF DOMINICAN REPUBLIC'],Non-VF,4,587.1,0.0,"El proyecto procura mejorar la calidad de vida de la población de El Seibo, a través de iniciativas puntuales en las comunidades con mayor grado de carencias, que permitan a su vez, servir de piloto para futuras intervenciones.",[7],['Keeping people out of poverty'],Missing
10414,GEF SGP 7th Operational Phase – Core (Part 2),20919834.0,Dominican Republic,DOM,https://www.thegef.org/projects-operations/projects/10414,,Non-VF,6,102310.0,0.0,,,,Missing
128651,Stockholm plus 50,94000.0,Sierra Leone,SLE,https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Ffinance.partneragencies.org%2Fpsp%2FUNDPP1FS%2FEMPLOYEE%2FERP%2Fc%2FESTABLISH_AWARDS.GM_BUD_DETAIL.GBL%3FPage%3DPC_BUD_DETAIL2%26BUDGET_PERIOD%3D3%26BUSINESS_UNIT%3DUNDP1%26PC_BUDGET_ID%3D1%26PC_BUD_TYPE%3DC%26PROJECT_ID%3D00128651%26Action%3DU&data=05%7C01%7Ctanzila.sankoh%40undp.org%7C8b842e0b18fc40bce26a08db6cfa8896%7Cb3e5db5e2944483799f57488ace54319%7C0%7C0%7C638223595505234431%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=r2G6QQR%2Fxul%2BDT8sJoORs9dWDHelO9mkedvPC1PoM%2Fs%3D&reserved=0,Swedish Government ,Non-VF,1,2364.63,0.0,,,,Missing
126004,Youth Empowerment and Employment,160000.0,Sierra Leone,SLE,https://estm.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_adf.ctrl-state=1bhjjzg4kz_5,UNDP (TRAC 2 resources),Non-VF,1,60.0,0.0,,,,Missing
122410,Technical and Advisory Support to Electricty sector,7939225.0,Saudi Arabia,SAU,http://open.undp.org/projects/00122410,['GOVERNMENT OF SAUDI ARABIA'],Non-VF,1,0.0,0.0,The electricity sector in the Kingdom of Saudi Arabia is witnessing a major transformation with a number of ongoing initiatives which aims to increase efficiency of the sector,"[12, 7]",['Enhance national prevention and recovery capacities for resilient societies'],Missing
129076,Project to support the energy transition in the context of the implementation of the NDC ,250000.0,Senegal,SEN,,,Non-VF,1,0.0,0.0,,,,GEN1
122455,Off-grid Renewable Energy Solutions in Rural Suriname,753663.0,Suriname,SUR,https://open.undp.org/projects/00122455,,Non-VF,1,19250.0,0.0,,,,Missing
112081,NAMA-Investing in Solar PV,982678.0,Gambia,GMB,http://open.undp.org/projects/00112081,"['Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1,145000.0,0.0,Project focusing in grid connected renewable energy solutions for rural Gambia,[7],['Close the energy gap'],Missing
131568,Sare Demba Toro,678110.0,Gambia,GMB,https://open.undp.org/projects/00109904,,Non-VF,3,2217.76,0.0,,,,Missing
143659,"Nature, Climate, Energy, and Resilience Programme",1980000.0,Uganda,UGA,http://open.undp.org/projects/00143659,['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,5,5901799.0,0.0,"NCER will ensure (i) implementation of nature-based solutions; (ii) equitable access to & use of affordable clean/renewable energy; (iii) concrete climate adaptation actions; (iv) capacity to manage disaster risk, (v) better use of nature conservation",[],['Others'],Missing
5574,NAMA Integrated Wastewater Treatment,2170030.0,Uganda,UGA,PIMS+,,VF,3,200.0,0.0,"This project aims to provide environmental benefits and reduce greenhouse gas emissions from improper and inadequate management and treatment of wastewater and organic waste in towns, municipalities and agro-processing industries in Uganda. The project combines demonstration and investment in integrated waste treatment/management and biogas plants in agro-processing industries and municipalities (including biogas-based, on-grid electricity generation) with institutional strengthening, capacity building for improved waste management, and an improved regulatory framework so that interventions are sustainable and can be replicated in other municipalities and across the agro-processing industry. The Lifetime tonnes of CO2eq reduced from renewable electricity production is expected to be 223,000 tonnes of CO2eq and from methane reduction the GHG emission reductions are estimated at 1,542,000 tonnes CO2eq over the lifetime of investments – yielding a total reduction of 1,765,000 tonnes of CO2eq.",,,Missing
122398,Seventh Operational Phase of the GEF Small Grants Programme in Mexico,50000.0,Mexico,MEX,https://open.undp.org/projects/00128385,,Non-VF,9,1399.0,0.0,,,,GEN2
5299,Production of bio methane,2632300.0,Botswana,BWA,PIMS+,,VF,3,52500.0,0.0,,,,Missing
5831,Low Carbon Technologies and Green Development,1750172.0,Guyana,GUY,https://co.pims.undp.org/project/view?id=5831,GEF,VF,1,10000.0,0.0,"The Project aims to accelerate the uptake of renewable energy (RE) and energy efficiency (EE) technologies to reduce national dependency on imported fossil fuels and support Guyana on its path towards more decentralized, inclusive and resilient development. To this purpose, the Project will develop and operationalize one or more business models for RE generation. It will further strengthen delivery skills of public and private energy stakeholders, develop a portfolio of low-emission energy projects and secure investment for implementation of 4.4 MW RE/EE capacity. The electricity produced (7,000 MWh annually) will benefit approx. 10,000 individuals (m/f equally) and translates into fiscal budget savings of US$ 850,000 annually. The GHG emission reductions over a 10-year period will be about 271,000 tCO2eq for direct and post-project investments combined.",,,Missing
116770,Trilateral Cooperation on Biogas and Solar - Transitioning to Sustainable Energy Uses in public and private institutions including in the Agro-Industry ,2042396.0,Ethiopia,ETH,http://open.undp.org/projects/00120660,"(1) MOFCOM: 1,000,000
(2) Co-financing: 1,042,396",Non-VF,3,17500.0,0.0,,,,GEN2
5200, Promoting Sustainable Rural Energy Technologies (RETs) for Household and Productive Uses,73137680.0,Ethiopia,ETH,PIMS+ https://co.pims.undp.org/project/view?id=5200,"
(1) GEF: 4,480,500.00
(2) Co-financing: 69,045,899",VF,9,4090200.0,2.04,,,,Missing
127444, National Child Project under the Africa Minigrids Program - Ethiopia,16664577.0,Ethiopia,ETH,PIMS+ https://co.pims.undp.org/project/view?id=6338,"(1) GEF: 2,890,826
(2) Co-financing: 13,773,751",VF,9,74310.0,16836.0,,,,Missing
"6161, 106273",Emissions Trading and MRV in Belarus,840000.0,Belarus,BLR,https://co.pims.undp.org/project/view?id=6161,GEF,"VF, Non-VF",2,0.0,0.0,,,,Missing project id
79213,Bahrain Unit for Sustainable Energy,7254715.0,Bahrain,BHR,http://open.undp.org/projects/00079213,"['GOVERNMENT OF BAHRAIN', 'Office of Minister of Energy']",Non-VF,1,0.0,0.0,Establishment of Centre for Sustainable Energy in Bahrain in partnership with the Ministry of Energy. The Unit will be responsible for establishing strategies and policies and legislations.,"[1, 11, 7, 9]",['Close the energy gap'],Missing
106668,Support to increased production of and access to renewable energy systems in East and West Sepik Provinces (STREIT),3954035.0,Papua New Guinea,PNG,https://open.undp.org/projects/00106668,['FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS'],Non-VF,5,43000.0,0.0,Support to increased production of and access to renewable energy systems in East and West Sepik Provinces.,[16],"['Strengthen effective, inclusive and accountable governance']",Missing
100396,Enhancing Green Transformation in the Pacific towards Net-Zero Emissions and Climate-Resilient Development for Peace ,3726000.0,Papua New Guinea,PNG,,Japan,Non-VF,1,17500.0,0.0,,,,Missing
UNDP-MDG-00132364,Africa mini grids projects,824590.0,Madagascar,MDG,,,Non-VF,6,150825.0,0.0,,,,Missing project id
"UNDP-MDG-00129975
UNDP-MDG-00129976",Résilience & Dvpt Territorial ,2286000.0,Madagascar,MDG,,,Non-VF,4,36160.5,0.0,,,,Missing project id
UNDP-MDG-00123355,Financement Intégré Energies R,8748560.0,Madagascar,MDG,,,Non-VF,4,84500.0,0.0,,,,Missing project id
missing-VEN-1,"Ensuring access to affordable, secure, sustainable and modern energy for all (SDG 7)",1400000000.0,Venezuela,VEN,Not yet available,Can you please provide the donors of the projects ? ,Non-VF,2,0.0,0.0,,,,Missing project id
91460,Sustainable Energy For ALL,720000.0,Lesotho,LSO,5367 Lesotho Sustainable Energy for All (undp.org),,Non-VF,7,70386.2,0.0,,,,GEN2
missing-LSO-1,UNDP Moonshot: Greening the UN House,57000.0,Lesotho,LSO,,,Non-VF,1,1032.5,0.0,,,,Missing project id
132730,"Climate Adaptation, Water and Energy Programme",14251782.0,Zimbabwe,ZWE,,FCDO,Non-VF,1,21499.0,0.0,,,,Missing
132179,TRAC  2 Energy Offer project ,1500000.0,Zimbabwe,ZWE,,TRAC 2,Non-VF,4,8275.0,0.0,,,,GEN1
133752,Joint SDG Fund Project ,45000000.0,Zimbabwe,ZWE,,Joint SDG Fund,Non-VF,1,840000.0,0.0,,,,GEN1
missing-ZWE-1,Solar for Health (S4H),21312267.61,Zimbabwe,ZWE,,Global Fund (Next phase will be funded by GCF),Non-VF,1,1042956.0,0.0,,,,Missing project id
146913,Fortalecimiento institucional CENACE,200000.0,Ecuador,ECU,https://open.undp.org/projects/00146913,['Operador Nacional de Electricidad - CENACE'],Non-VF,1,0.0,0.0,Fortalecimiento Institucional CENACE,[7],['Promote nature-based solutions for a sustainable planet'],Missing
110105,Fortalecimiento a la gestión ambiental,439879.0,Ecuador,ECU,https://open.undp.org/projects/00110105,,Non-VF,3,0.0,0.0,,,,Missing
6411,Sustainable Cities Impact Program - Morocco,9416167.0,Morocco,MAR,PIMS+,,VF,1,928850.0,0.0,"The project will support the scaling up on the ground of planned and initiated activities to deliver biodiversity conservation, land restoration, GHG reductions, climate resilience, living environment improvement of a large segment of beneficiaries (inhabitants, national and international tourists), reduction of social inclusion amongst other GEBs. To achieve these objectives, the project will implement the following four components:
•	Component 1 “Strengthening Marrakech’s sustainable and integrated urban planning”
•	Component 2 “Sustainable integrated low carbon, resilient, conservation and land restoration investments” 
•	Component 3 “Innovative financing and scaling-up schemes mainstreamed through sustainable urban investments”
•	Component 4 “Advocacy, Knowledge Exchange, Capacity Building, and Partnerships”:.",,,Missing
5284,PV pumping systems for irrigation,2639726.0,Morocco,MAR,PIMS+,,VF,1,17175.0,0.0,,,,Missing
6542,PASBET,3439041.0,Pakistan,PAK,PIMS+,GEF,VF,8,361880.0,0.0,To combat global climate change through carbon sequestration and promoting sustainable biomass energy technologies supporting socio-economic development and reducing GHG emissions from the rural landsacpe in Pakistan,,,Missing
134230,Climate Promise-II ,540000.0,Pakistan,PAK,,Climate Promise ,Non-VF,4,0.0,0.0,,,,GEN2
124739,SIDA UNDP Strategic Collaboration on Env and CC,36443657.0,Bureau Policy & Prog Support,,http://open.undp.org/projects/00124739,SIDA,Non-VF,1,4465908.0,0.0,,,,Missing
139866,Programme Initiation plan energy hub,1174548.0,Bureau Policy & Prog Support,,http://open.undp.org/projects/00139866,,Non-VF,2,0.0,0.0,,,,Missing
111467,Linking the Kigali Amendment with EE in the RAC Sector,11205031.0,Bureau Policy & Prog Support,,http://open.undp.org/projects/00111467,,Non-VF,1,0.0,0.0,,,,Missing
90074,GCS intervention on environment (Biomass),869916.0,Sri Lanka,LKA,http://open.undp.org/projects/00090074,"['GOVERNMENT OF SRI LANKA', 'PRIVATE SECTOR', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1,8000.0,0.0,Promote sustainable biomass energy production and modern bio-energy technologies for industries and institutions,"[7, 9]",['Close the energy gap'],Missing
119366,Transitioning to sustainable energy uses for the agro-in,1007201.0,Sri Lanka,LKA,http://open.undp.org/projects/00119366,"['MINISTRY OF COMMERCE, CHINA']",Non-VF,3,0.0,0.0,Transitioning to Sustainable Energy Uses in the Agro-Industry to enhance energy savings and reduce Green House Gas emission.,"[7, 9]",['Close the energy gap'],Missing
134410,MP Projects Sri Lanka,261353.0,Sri Lanka,LKA,http://open.undp.org/projects/00134410,['MONTREAL PROTOCOL'],Non-VF,3,0.0,0.0,HCFC Phase-out Management Plan Stage II and Institutional Strengthening Phase XIII,"[12, 13]","['Enhance national prevention and recovery capacities for resilient societies', 'Close the energy gap']",Missing
142290,Climate Promise: From Pledge to Impact,324000.0,Sri Lanka,LKA,http://open.undp.org/projects/00142290,['SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA)'],Non-VF,3,0.0,0.0,Establish and strengthen mechanisms to access and support enhanced climate resilience in the country.,"[7, 9]",['Close the energy gap'],Missing
145829,Mainstreaming E-Mobility Through the Conversion of Tuk-T,1151772.0,Sri Lanka,LKA,http://open.undp.org/projects/00145829,"['Korean Environmental Industry & Technology Institute', 'UNDP Funding Windows', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2,11500.0,0.0,Mainstreaming E-Mobility Through the Conversion of Tuk-Tuks to Electric Vehicles (EVs),"[7, 9]",['Close the energy gap'],Missing
100344,Enhancing Food and Energy Security through the promotion of Green Technologies,996991.0,Sri Lanka,LKA,https://open.undp.org/projects/00100344,Japan,Non-VF,3,55730.0,0.0,,,,Missing
144399,Citizen and Private Sector Support for Crisis Relief,43615.0,Sri Lanka,LKA,https://open.undp.org/projects/00144399,"Japan, Thailand, Private Sector, Citi Foundation",Non-VF,1,32.0,0.0,,,,Missing
