Project ID,Title,Link,Budget,Beneficiary Category,Indicator,Baseline,Target,Notes,Donors,Gender (% female),VF or Non-VF,Tag,SEH Taxonomy,RISE Taxonomy,Flagship,Technology,Output ID,Country Code,Category,name 2,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Country Name,Region,Economy,LDC,SIDS,LLDC,HDI,Status,Direct Conversion Factor,Direct Beneficiaries,Output Category,Beneficiary Category Pre,Description
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Education Services,Number of beneficiaries per school,,10000, 5 Schools with an estimated number of 2000 benificiaries per school.,,,Non-VF,,Close the gap on energy access,,,,126170.0-4,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,1,10000.0,Energy Access,Education Services,"Provide access to clean and renewable energy for 10,000 beneficiaries in Malawi through the ACRE Project, improving sustainability, efficiency, and cost-effectiveness of energy technologies."
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Health Services,,,210000,6 Health centres benefiting an estimate of 35000 individuals per centre.,,,Non-VF,,Close the gap on energy access,,,,126170.0-5,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,1,210000.0,Energy Access,Health Services,"Provide access to clean, affordable, reliable, and modern energy to 210,000 individuals through the enhancement of energy technologies in Malawi."
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Renewable Energy,,,,"National Energy Policy Revision, Malawi Renewable Energy Strategy, Mini Grid Regulatory Framework.  Support Malawi Bureau of Standarsd with Renewable energy testing equipment. ",,,Non-VF,,Close the gap on energy access,Renewable Energy,,,126170.0-6,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,0,0.0,Policy,Policy or Regulatory Framework,"Enhance the sustainability, efficiency, and cost-effectiveness of energy technologies to increase access to clean, affordable, reliable, and modern energy."
6512,GEF Africa Minigrids Program,PIMS+,396125.0,Other,Greenhouse gas emissions mitigated tCO2,0,1068,1068 metric tons of carbon dioxide equivalent (Units of measure: metric tons of CO2e),GEF,,VF,,Close the gap on energy access,,,,6512.0-1,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,0,0.0,GHG Emissions Reduction,GHG Emissions Reduction,Mitigate 1068 metric tons of greenhouse gas emissions (tCO2) through the GEF Africa Minigrids Program in Malawi.
6512,GEF Africa Minigrids Program,PIMS+,396125.0,Clean Electricity,Number of direct beneficiaries disaggregated by gender (and customer segment) as co-benefit of GEF investment ,0,763,,,0.51,VF,,Close the gap on energy access,,,Solar,6512.0-2,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,1,763.0,Energy Access,Electricity Access,"Increase the financial viability and promote scaled-up commercial investment in minigrids, providing access to clean energy for 763 direct beneficiaries in Malawi."
6512,GEF Africa Minigrids Program,PIMS+,396125.0,Other,"Number of direct primary jobs created in the minigrid sector, disaggregated by gender, for minigrid development, operation and productive use",0,10,,,0.5,VF,,Close the gap on energy access,,,,6512.0-3,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,0,0.0,Other,,"Create 10 direct primary jobs in the minigrid sector, with a target of 50% female representation, to support access to clean energy in Malawi."
5728,LED and high efficiency transformers in SA,PIMS+,5000000.0,Other,Cumulative savings of tCO2,63.4 ktCO2 of GHG emissions due to lighting is projected to decline to 44.9 ktCO2 at EoP under business as usual and to 43.4 ktCO2 in 2030. Emissions due to transformer losses in will increase to 19.8ktCO2 at EoP (2023) and 23.1 ktCO2 in 2030 ,21100,,,,VF,,Accelerating just energy transition,,,,5728-1,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,GHG Emissions Reduction,GHG Emissions Reduction,Reduce cumulative savings of tCO2 by 18.5 ktCO2 through the implementation of LED and high efficiency transformers in South Africa.
5728,LED and high efficiency transformers in SA,PIMS+,5000000.0,Efficiency,Number of households,,1680000,,,,VF,,Accelerating just energy transition,,,,5728-2,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Energy Transition,Energy Efficiency Services,"Install LED lights and high efficiency transformers in 1,680,000 households in South Africa as part of an energy efficiency project."
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Wind,Beneficiaries,,74230,"1,367 GWh cumulative by end-2018. 74,230 individuals will benefit annually from project-supported new wind-generated lectricity.44Direct greenhouse gas reductions of 70,378 tCO2 cumulative by end-2018 (using a conservative 5% project causality factor). ",Department of Energy. South Africa,,VF,,Accelerating just energy transition,,,Wind,5256-1,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,1,74230.0,Energy Transition,Electricity Access,"Beneficiaries: 74,230 individuals will benefit annually from project-supported new wind-generated electricity."
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Other,Cumulative savings of tCO2,,70378,,"Department of Trade, Industry and Competition, South Africa",,VF,,Accelerating just energy transition,,,,5256-2,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,GHG Emissions Reduction,GHG Emissions Reduction,"Achieve cumulative savings of 70,378 tCO2 through the South Africa Wind Energy Project (Phase II)."
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Renewable Energy,"1.1 Enhanced, technology-enabled capability among Government and industry stakeholders to monitor and verify implementation of local content requirements",GIZ-supported reporting system in place  at DoE IPP Unit. Quarterly reports filed by IPPs but no verification. No systematic review and consolidation of lessons learned.,,"M&V system and supporting business processes defined, developed and implemented at the DoE (IPP 
Unit) by end-2015.","Department of Science and Innovation, South Africa",,VF,,Accelerating just energy transition,Renewable Energy,,,5256-3,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Policy,Policy or Regulatory Framework,Implement a monitoring and verification system for local content requirements in the South Africa Wind Energy Project (Phase II) by the end of 2015.
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Wind,MW,No small-scale wind farms installed.,1.8,1.8 MW small-scale wind farm demonstration project –developed.,,,VF,,Accelerating just energy transition,,,Wind,5256-4,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,17500,31500.0,Energy Transition,Energy (MW added),Develop a 1.8 MW small-scale wind farm demonstration project in South Africa as part of the South Africa Wind Energy Project (Phase II).
missing-ZAF-1,Just Energy Transition Platform,,273333.0,Renewable Energy,"Output 1: Promote policy oriented research; Stimulate critical debates amongst global and national experts and cross sectoral stakeholders on the wide spectrum of issues associated with the just energy transition; Promote the creation of different narratives and discourses on the just energy transition in South Africa, drawing on experience from other countries in the Global South and Global North; Function as a learning exchange platform for leaders on the just transition process; and Present policy, strategic, and recommendations for possible implementation.
South and Global North;",0,6,"The JET Platform will provide a space for cross sectoral, transdisciplinary, and diversified discussion to unlock and build thought leadership around the just energy transition implementation processes. The JET Platform will have the overall purpose to bring together minds to bridge the gap between the stated national vision of the just transition in South Africa, and its institutionalised manifestation on the ground. To inform and design just transition implementation, the Platform will: 
•	Promote policy oriented research; 
•	Stimulate critical debates amongst global and national experts and cross sectoral stakeholders on the wide spectrum of issues associated with the just energy transition; 
•	Promote the creation of different narratives and discourses on the just energy transition in South Africa, drawing on experience from other countries in the Global South and Global North;
•	Function as a learning exchange platform for leaders on the just transition process; and
•	Present policy, strategic, and recommendations for possible implementation.
",UNDP LVGA,,Non-VF,,Accelerating just energy transition,Renewable Energy,,,missing-ZAF-1-1,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Policy,Policy or Regulatory Framework,"Promote policy-oriented research, stimulate critical debates, and create different narratives on the just energy transition in South Africa. Function as a learning exchange platform for leaders and present policy recommendations for implementation."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Renewable Energy,Number of gender-responsive roadmap documents on skills development and human resource needs for a JET updated,0,1,1,Japan,,Non-VF,,Accelerating just energy transition,Renewable Energy,,,missing-ZAF-2-1,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Policy,Policy or Regulatory Framework,Update one gender-responsive roadmap document on skills development and human resource needs for a Just Inclusive Energy Transition (JET) in South Africa.
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,Number of youths trained through a vocational training and work placement programme on clean energy (disaggregated by gender),24,75,75 (36 female / 39 male),,0.48,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-2,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,Capacity Building Training,"Train 75 youths, with a gender breakdown of 36 females and 39 males, in a vocational training and work placement program focused on clean energy."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,Number of trainers trained through a pilot ToT programme (disaggregated by gender),0,25,25 (10 female / 15 male),,0.4,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-3,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,Capacity Building Training,"Train 25 trainers (10 female, 15 male) through a pilot ToT program to accelerate a just energy transition in South Africa."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,Number of documents on lessons learned and recommendations produced,1,2,2,,,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-4,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,,Produce 2 documents on lessons learned and recommendations as part of the Just Inclusive Energy Transition project in South Africa.
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,"Number of entrepreneurs, SMMEs and innovators supported through an open national innovation challenge on clean energy solutions (disaggregated by gender)",2,10,10 (6 female / 4 male),,0.6,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-5,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,10,80.0,Other,Small Enterprises,"Support 10 entrepreneurs, SMMEs, and innovators through an open national innovation challenge on clean energy solutions, with a target of 6 female and 4 male participants."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Solar,Number of households who gained access to clean energy through the small-scale solar energy demonstration project (disaggregated by head of household) ,57 HH,275.52,82 (45 female / 37 male),,0.5357142857142857,Non-VF,,Accelerating just energy transition,,,Solar,missing-ZAF-2-6,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,1,275.52,Energy Transition,Electricity Access,"Provide access to clean energy for 275.52 households through a small-scale solar energy demonstration project, benefiting 82 individuals (45 female / 37 male) in South Africa."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,"Number of community members, including local government officials trained on the use and maintenance of solar energy",0,50,50 (20 female / 30 male),,0.4,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-7,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,Capacity Building Training,"Train 50 community members, including local government officials, on the use and maintenance of solar energy in South Africa."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,"Number of public and private sector and women-led energy civil society organizations (CSOs) trained on energy transition (disaggregated by gender), inclusive of amplifying the voice of women in the JET discourse",0,8,8 (5 female / 3 male),,1,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-8,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,,"Train 8 public and private sector and women-led energy civil society organizations (CSOs) on energy transition, with a focus on amplifying the voice of women in the Just Inclusive Energy Transition (JET) discourse."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,Number of public and private sector and civil society stakeholders participated in learning exchange on energy transition (disaggregated by gender),0,25,25 (15 female / 10 male),,0.6,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-9,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,Capacity Building Training,"25 public and private sector and civil society stakeholders, disaggregated by gender (15 female / 10 male), participated in a learning exchange on energy transition."
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,"Number of roadmaps towards clean energy production, storage, and use finalised",0,1,1,,,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-10,ZAF,,South Africa,710.0,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,0,0.0,Other,,"Finalize one roadmap towards clean energy production, storage, and use."
5669,IMPRESS,PIMS+,6075828.0,Clean Electricity,"Cumulative electricity generation using RE resources, MW",82,132,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",,,VF,,Close the gap on energy access,,,Some Sources,5669.0-1,WSM,,Samoa,882.0,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,Samoa,RBAP,Lower middle income,,SIDS,,High,Clean Up,17500,875000.0,Energy Access,Energy (MW added),Increase cumulative electricity generation using renewable energy resources from 82 MW to 132 MW in Samoa.
5669,IMPRESS,PIMS+,6075828.0,Clean Electricity,Cumulative number of households benefitting from RE-based electricity generation and EE technology applications.,0,108504,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",,,VF,,Close the gap on energy access,,,Some Sources,5669.0-2,WSM,,Samoa,882.0,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,Samoa,RBAP,Lower middle income,,SIDS,,High,Clean Up,1,108504.0,Energy Access,Electricity Access,"Benefit 108,504 households with renewable energy-based electricity generation and energy efficiency technology applications."
5669,IMPRESS,PIMS+,6075828.0,Other,"Number of trained local authorities, (i.e., local government officials) that are capable of developing, planning and implementing RE, DSM/EE and PURE/SURE projects.",,20,"Source of verification: 
Awareness survey report
Training evaluation reports
Project M&E report",,,VF,,Close the gap on energy access,,,,5669.0-3,WSM,,Samoa,882.0,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,Samoa,RBAP,Lower middle income,,SIDS,,High,Clean Up,0,0.0,Other,Capacity Building Training,"Train 20 local authorities in Samoa to develop, plan, and implement renewable energy, energy efficiency, and sustainable energy projects."
5669,IMPRESS,PIMS+,6075828.0,,Number of approved and enforced policies that support and incentivize investments in RE development and utilization,0,1,,,,VF,,Close the gap on energy access,,,,5669.0-4,WSM,,Samoa,882.0,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,Samoa,RBAP,Lower middle income,,SIDS,,High,Clean Up,0,0.0,Policy,Policy or Regulatory Framework,Develop and enforce policies that support and incentivize investments in renewable energy development and utilization in Samoa.
5669,IMPRESS,PIMS+,6075828.0,,Number of approved and enforced regulations that support EE implementation in Samoa under the Energy Bill,0,3,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",,,VF,,Close the gap on energy access,,,,5669.0-5,WSM,,Samoa,882.0,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,Samoa,RBAP,Lower middle income,,SIDS,,High,Clean Up,0,0.0,Policy,Policy or Regulatory Framework,Enforce 3 regulations that support energy efficiency implementation in Samoa under the Energy Bill.
